question,hit_lost,in_ist_index,actual_parag,titleNo
"['NFL', 'team', 'represented', 'AFC', 'Super', 'Bowl', '50']",1,1,0,0
"['NFL', 'team', 'represented', 'NFC', 'Super', 'Bowl', '50']",0,0,0,0
"['Super', 'Bowl', '50', 'take', 'place']",0,0,0,0
"['NFL', 'team', 'Super', 'Bowl', '50']",0,0,0,0
"['color', 'used', 'emphasize', '50th', 'anniversary', 'Super', 'Bowl']",1,3,0,0
"['theme', 'Super', 'Bowl', '50']",0,0,0,0
"['day', 'game', 'played']",1,0,0,0
"['AFC', 'short']",1,0,0,0
"['theme', 'Super', 'Bowl', '50']",0,0,0,0
"['AFC', 'stand']",1,1,0,0
"['day', 'Super', 'Bowl', 'played']",0,0,0,0
"['Super', 'Bowl', '50']",0,0,0,0
"['venue', 'Super', 'Bowl', '50', 'take', 'place']",0,0,0,0
"['city', 'Super', 'Bowl', '50', 'take', 'place']",0,0,0,0
"['Roman', 'numeral', 'used', 'would', 'Super', 'Bowl', '50', 'called']",0,0,0,0
"['Super', 'Bowl', '50', 'decided', 'NFL', 'champion', 'season']",0,0,0,0
"['year', 'Denver', 'Broncos', 'secure', 'Super', 'Bowl', 'title', 'third', 'time']",0,0,0,0
"['city', 'Super', 'Bowl', '50', 'take', 'place']",0,0,0,0
"['stadium', 'Super', 'Bowl', '50', 'take', 'place']",0,0,0,0
"['final', 'score', 'Super', 'Bowl', '50']",0,0,0,0
"['month', 'day', 'year', 'Super', 'Bowl', '50', 'take', 'place']",0,0,0,0
"['year', 'Super', 'Bowl', '50']",0,0,0,0
"['team', 'AFC', 'champion']",1,1,0,0
"['team', 'NFC', 'champion']",1,1,0,0
"['Super', 'Bowl', '50']",0,0,0,0
"['Super', 'Bowl', '50', 'determined', 'NFL', 'champion', 'season']",0,0,0,0
"['team', 'Super', 'Bowl', '50']",0,0,0,0
"['Super', 'Bowl', '50', 'held']",0,0,0,0
"['name', 'NFL', 'championship', 'game']",1,0,0,0
"['2015', 'NFL', 'team', 'one', 'AFC', 'playoff']",1,1,0,0
"['Carolina', 'Panthers', 'player', 'named', 'Most', 'Valuable', 'Player']",1,0,1,0
"['appearance', 'Denver', 'Broncos', 'made', 'Super', 'Bowl']",0,1,1,0
"['year', 'Carolina', 'Panthers', 'franchise', 'founded']",1,0,1,0
"['team', 'Panthers', 'defeat']",1,0,1,0
"['Broncos', 'prevent', 'going', 'Super', 'Bowl']",0,1,1,0
"['Panthers', 'beat', 'NFC', 'Championship', 'Game']",1,0,1,0
"['lost', 'Broncos', 'AFC', 'Championship']",1,0,1,0
"['defending', 'Super', 'Bowl', 'champion']",0,1,1,0
"['team', 'Super', 'Bowl', 'eight', 'time']",0,1,1,0
"['season', 'NFL', 'MVP']",1,1,1,0
"['win/loss', 'ratio', '2015', 'Carolina', 'Panthers', 'regular', 'season']",1,0,1,0
"['Carolina', 'Panthers', 'team', 'member', 'picked', 'team', 'MVP', '2015']",1,0,1,0
"['win/loss', 'game', 'stats', 'Denver', 'Bronco', 'regular', 'season', '2015']",1,0,1,0
"['team', 'played', 'Super', 'Bowl', 'eight', 'time']",0,1,1,0
"['team', 'get', 'chance', 'defend', 'Super', 'Bowl', 'XLIX', 'win', 'Super', 'Bowl', '50']",0,1,1,0
"['quarterback', 'Panthers']",1,0,1,0
"['Carolina', 'beat', 'NFC', 'championship', 'game']",1,1,1,0
"['time', 'Panthers', 'Super', 'Bowl']",0,1,1,0
"['Denver', 'beat', 'AFC', 'championship']",1,2,1,0
"['Most', 'Valuable', 'Player', '2015', 'NFL', 'season']",1,0,1,0
"['Denver', 'beat', '2015', 'AFC', 'Championship', 'game']",1,0,1,0
"['Carolina', 'Panthers', 'beat', '2015', 'NFC', 'Championship', 'game']",1,0,1,0
"['2015', 'NFL', 'MVP']",1,2,1,0
"['Panthers', 'beat', 'become', 'NFC', 'champ']",1,0,1,0
"['year', 'Carolina', 'Panthers', 'form']",1,1,1,0
"['Super', 'Bowl', '50', 'MVP']",0,2,2,0
"['fumble', 'Von', 'Miller', 'force', 'Super', 'Bowl', '50']",0,2,2,0
"['team', 'held', 'scoring', 'lead', 'throughout', 'entire', 'game']",1,2,2,0
"['Denver', 'linebacker', 'named', 'Super', 'Bowl', 'MVP']",0,2,2,0
"['solo', 'tackle', 'Von', 'Miller', 'make', 'Super', 'Bowl', '50']",0,2,2,0
"['limited', 'Denver', 'defense']",1,0,2,0
"['time', 'Cam', 'Newton', 'sacked']",1,0,2,0
"['Super', 'Bowl', 'MVP']",0,2,2,0
"['turnover', 'Cam', 'Newton']",1,0,2,0
"['fumble', 'Von', 'Miller', 'force']",1,0,2,0
"['given', 'esteemed', 'status', 'MVP', 'Super', 'Bowl', '50']",0,2,2,0
"['position', 'Von', 'Miller', 'play', 'Denver', 'Broncos']",1,0,2,0
"['number', 'solo', 'tackle', 'Von', 'Miller', 'Super', 'Bowl', '50']",0,2,2,0
"['forced', 'fumble', 'Von', 'Miller', 'Super', 'Bowl', '50', 'game']",0,2,2,0
"['MVP', 'Super', 'Bowl']",0,2,2,0
"['tackle', 'Von', 'Miller', 'get', 'game']",1,0,2,0
"['time', 'Cam', 'Newton', 'sacked', 'Super', 'Bowl', '50']",0,2,2,0
"['time', 'Denver', 'defense', 'force', 'Newton', 'turnover']",1,0,2,0
"['Newton', 'turnover', 'resulted', 'seven', 'point', 'Denver']",1,0,2,0
"['Most', 'Valuable', 'Player', 'Super', 'Bowl', '50']",0,2,2,0
"['position', 'Von', 'Miller', 'play']",1,0,2,0
"['time', 'Panthers', 'quarterback', 'sacked']",1,0,2,0
"['time', 'Broncos', 'cause', 'turnover', 'game']",1,0,2,0
"['Denver', 'player', 'caused', 'two', 'fumble', 'Panthers']",1,0,2,0
"['tackle', 'Von', 'Miller', 'accomlish', 'game']",1,1,2,0
"['network', 'broadcasted', 'Super', 'Bowl', '50', 'U.S.']",0,3,3,0
"['average', 'cost', '30', 'second', 'commercial', 'Super', 'Bowl', '50']",0,3,3,0
"['group', 'headlined', 'Super', 'Bowl', '50', 'halftime', 'show']",0,3,3,0
"['performer', 'joined', 'headliner', 'Super', 'Bowl', '50', 'halftime', 'show']",0,3,3,0
"['At', 'Super', 'Bowl', 'Beyonce', 'headline', 'halftime', 'show']",0,3,3,0
"['broadcaster', 'Super', 'Bowl', '50', 'United', 'States']",0,3,3,0
"['average', 'cost', '30-second', 'commercial']",1,0,3,0
"['halftime', 'performer', 'previously', 'headlined', 'Super', 'Bowl', 'XLVII']",1,4,3,0
"['halftime', 'performer', 'previously', 'headlined', 'Super', 'Bowl', 'XLVIII']",0,3,3,0
"['main', 'performer', 'year', 'halftime', 'show']",1,0,3,0
"['network', 'broadcasted', '50th', 'Super', 'Bowl', 'game']",0,3,3,0
"['average', 'cost', 'TV', 'ad', 'lasting', '30', 'second', 'Super', 'Bowl', '50']",0,3,3,0
"['male', 'singer', 'performed', 'special', 'guest', 'Super', 'Bowl', '50']",0,3,3,0
"['ranking', 'Super', 'Bowl', '50', 'halftime', 'show', 'list', 'watched', 'TV', 'broadcast']",1,1,3,0
"['station', 'aired', 'Super', 'Bowl']",0,3,3,0
"['much', 'money', '1/2', 'minute', 'commercial', 'cost']",1,3,3,0
"['band', 'headlined', 'half-time', 'Super', 'Bowl', '50']",0,3,3,0
"['two', 'artist', 'came', 'Coldplay', 'half-time', 'show']",1,0,3,0
"['broadcast', 'Super', 'Bowl', 'TV']",0,3,3,0
"['headlined', 'halftime', 'show', 'Super', 'Bowl', '50']",0,3,3,0
"['special', 'guest', 'Super', 'Bowl', 'halftime', 'show']",0,3,3,0
"['Super', 'Bowl', 'halftime', 'show', 'Beyoncé', 'headline']",0,3,3,0
"['cost', 'half', 'minute', 'ad']",1,3,3,0
"['lead', 'Super', 'Bowl', '50', 'halftime', 'performance']",0,3,3,0
"['two', 'famous', 'performer', 'part', 'Super', 'Bowl', '50', 'halftime']",0,3,3,0
"['performer', 'lead', 'Super', 'Bowl', 'XLVIII', 'halftime', 'show']",0,3,3,0
"['NFL', 'Commissioner', 'early', '2012']",1,0,4,0
"['Super', 'Bowl', 'Roger', 'Goodell', 'speak']",0,4,4,0
"['year', 'Roger', 'Goodell', 'call', 'Super', 'Bowl', '50', ""'an"", 'important', 'game', 'u', 'league']",1,0,4,0
"['Commissioner', 'National', 'Football', 'League']",1,3,4,0
"['make', 'quoted', 'remark', 'Super', 'Bowl', '50']",0,4,4,0
"['commissioner', 'NFL', '2012']",1,1,4,0
"['commissioner', 'NFL']",0,4,4,0
"['commissioner', 'NFL']",0,4,4,0
"['early', '2012', 'Goodell', 'said', 'Super', 'Bowl', '50', 'would']",1,0,4,0
"['one', 'word', 'NFL', 'commissioner', 'use', 'describe', 'Super', 'Bowl', '50', 'intended']",0,4,4,0
"['year', 'Roger', 'Goodell', 'announce', 'Super', 'Bowl', '50', 'would', 'important']",1,0,4,0
"['Louisiana', 'venue', 'one', 'three', 'considered', 'Super', 'Bowl', '50']",0,5,5,0
"['Florida', 'venue', 'one', 'three', 'considered', 'Super', 'Bowl', '50']",0,5,5,0
"['California', 'venue', 'one', 'three', 'considered', 'Super', 'Bowl', '50']",0,5,5,0
"['venue', 'Miami', 'candidate', 'site', 'Super', 'Bowl', '50']",0,5,5,0
"['site', 'located', 'San', 'Francisco', 'Bay', 'Area']",0,5,5,0
"['name', 'San', 'Francisco', 'stadium', 'looked', 'possibility', 'Super', 'Bowl', '50']",0,5,5,0
"['name', 'New', 'Orleans', 'superdome', 'time', 'Super', 'Bowl', '50', 'took', 'place']",0,5,5,0
"['given', 'name', 'Miami', 'stadium', 'time', 'Super', 'Bowl', '50']",0,5,5,0
"['three', 'stadium', 'NFL', 'decide', 'game']",0,5,5,0
"['site', 'NFL', 'narrow', 'Super', 'Bowl', '50', 'location']",0,5,5,0
"['One', 'site', 'Merceds-Benz', 'Superdome', 'located']",1,2,5,0
"['name', 'stadium', 'Miami', 'considered']",0,5,5,0
"['third', 'city', 'considered']",0,5,5,0
"['name', 'stadium', 'San', 'Francisco', 'Bay', 'Area']",0,5,5,0
"['Florida', 'stadium', 'considered', 'Super', 'Bowl', '50']",0,5,5,0
"['New', 'Orleans', 'stadium', 'considered', 'Super', 'Bowl', '50']",0,5,5,0
"['name', 'stadium', 'Super', 'Bowl', '50', 'played']",0,5,5,0
"['two', 'finalist', 'hosting', 'Super', 'Bowl', '50', 'announced']",0,6,6,0
"['time', 'South', 'Florida/Miami', 'area', 'hosted', 'Super', 'Bowl']",0,6,6,0
"['recent', 'Super', 'Bowl', 'hosted', 'South', 'Florida/Miami', 'area']",1,1,6,0
"['recent', 'Super', 'Bowl', 'hosted', 'South', 'Florida/Miami', 'area']",1,1,6,0
"['San', 'Francisco', 'Bay', 'area', 'last', 'host', 'Super', 'Bowl']",0,6,6,0
"['finalist', 'besides', 'Levi', 'Stadium']",1,2,6,0
"['finalist', 'announced']",1,4,6,0
"['venue', 'Super', 'Bowl', 'XIX', 'take', 'place']",0,6,6,0
"['On', 'date', 'Florida', 'legislature', 'decide', 'plan', 'renovate', 'Miami', 'stadium']",0,6,6,0
"['year', 'Super', 'Bowl', 'last', 'held', 'Miami/South', 'Florida', 'area']",0,6,6,0
"['time', 'Super', 'Bowl', 'taken', 'place', 'Miami', 'Sun', 'Life', 'Stadium']",1,3,6,0
"['last', 'Super', 'Bowl', 'took', 'place', 'Sun', 'Life', 'Stadium', 'Miami']",1,3,6,0
"['2012', 'stadium', 'named', 'finalist', 'hosting', 'Super', 'Bowl', '50', 'final', 'stadium', 'chosen']",1,2,6,0
"['entity', 'stepped', 'caused', 'Miami', 'Sun', 'Life', 'Stadium', 'longer', 'running', 'host', 'Super', 'Bowl', '50']",1,2,6,0
"['Prior', 'consideration', 'San', 'Francisco', 'last', 'host', 'Super', 'Bowl']",0,6,6,0
"['city', 'hosted', 'Super', 'Bowl', 'ten', 'time']",0,6,6,0
"['date', 'top', 'two', 'stadium', 'choice', 'Super', 'Bowl', '50', 'announced']",0,6,6,0
"['time', 'prios', 'Sun', 'Life', 'Stadium', 'Super', 'Bowls']",1,1,6,0
"['city', 'tied', 'Miami', 'hosting', 'Super', 'Bowl']",0,6,6,0
"['last', 'time', 'San', 'Francisco', 'hosted', 'Super', 'Bowl']",0,6,6,0
"['decided', 'approve', 'paying', 'renovation', 'Sun', 'Life', 'Stadium', 'league', 'wanted', 'host', 'Super', 'Bowl', '50']",1,1,6,0
"['Levi', 'Stadium', 'awarded', 'right', 'host', 'Super', 'Bowl', '50']",1,1,7,0
"['voted', 'venue', 'Super', 'Bowl', '50']",0,7,7,0
"['Lev', 'Stadium', 'open']",1,4,7,0
"['much', 'cost', 'build', 'Levi', 'Stadium']",1,0,7,0
"['California', 'city', 'last', 'hosted', 'Super', 'Bowl']",0,7,7,0
"['spring', 'meeting', 'NFL', 'owner', 'take', 'place']",1,2,7,0
"['On', 'date', 'Super', 'Bowl', '50', 'given', 'Levi', 'Stadium']",1,2,7,0
"['much', 'cost', 'build', 'Levi', 'Stadium']",1,0,7,0
"['Prior', 'Super', 'Bowl', '50', 'last', 'Super', 'Bowl', 'California']",0,7,7,0
"['city', 'last', 'Super', 'Bowl', 'California', 'occur']",0,7,7,0
"['year', 'Levi', 'Stadium', 'become', 'fully', 'approved', 'host', 'Super', 'Bowl', '50']",0,7,7,0
"['Levi', 'stadium', 'open', 'public']",1,1,7,0
"['much', 'cost', 'build', 'stadium', 'Super', 'Bowl', '50', 'played']",0,7,7,0
"['year', 'Super', 'Bowl', 'play', 'bay', 'area', 'around', 'San', 'Francisco', 'prior', 'Super', 'Bowl', '50']",0,7,7,0
"['Super', 'Bowl', 'hosted', 'San', 'Diego', '2003']",0,7,7,0
"['San', 'Francisco', 'voted', 'location', 'Super', 'Bowl', '50']",0,7,7,0
"['Levi', 'Stadium', 'open']",1,0,7,0
"['last', 'Super', 'Bowl', 'California']",0,7,7,0
"['meeting', 'held', 'NFL', 'owner', 'voted', 'location', 'Super', 'Bowl', '50']",0,7,7,0
"['Levi', 'Stadium', 'picked', 'Super', 'bowl', '50']",1,0,7,0
"['Levi', 'Stadium', 'open']",1,0,7,0
"['much', 'Levi', 'Stadium', 'cost']",1,0,7,0
"['last', 'time', 'California', 'hosted', 'Super', 'Bowl']",0,7,7,0
"['coached', 'Super', 'Bowl', '50', 'participant', 'recent', 'Super', 'Bowl', 'appearance', 'prior', 'Super', 'Bowl', '50']",0,8,8,0
"['NFL', 'team', 'finished', 'regular', 'season', 'one', 'loss']",0,8,8,0
"['NFL', 'team', 'gone', '15-1', 'one', 'season']",0,8,8,0
"['team', 'Super', 'Bowl', '50', '15-1', 'record']",0,8,8,0
"['last', 'Super', 'Bowl', 'Broncos', 'participated']",0,8,8,0
"['head', 'coach', 'Broncos', 'Super', 'Bowl', 'XLVIII']",0,8,8,0
"['number', 'time', 'Denver', 'Broncos', 'played', 'Super', 'Bowl', 'time', 'reached', 'Super', 'Bowl', '50']",0,8,8,0
"['NFL', 'team', 'one', 'loss', 'end', 'regular', 'season']",0,8,8,0
"['first', 'Super', 'Bowl', 'Carolina', 'Panthers', 'played']",0,8,8,0
"['team', 'boast', '15–1', 'regular', 'season', 'record']",0,8,8,0
"['seed', 'Carolina', 'Panthers']",0,8,8,0
"['seed', 'Denver', 'Broncos']",0,8,8,0
"['Prior', 'Super', 'Bowl', '50', 'Broncos', 'last']",0,8,8,0
"['Prior', 'Super', 'Bowl', '50', 'Carolina', 'Panthers', 'last']",0,8,8,0
"['team', '15-1', 'record', 'regular', 'season']",0,8,8,0
"['game', 'Panthers', 'lose', 'regular', 'season', 'Super', 'Bowl', '50']",0,8,8,0
"['team', 'Super', 'Bowl', '50', 'championship', 'game', 'eight', 'time']",0,8,8,0
"['Before', 'Super', 'Bowl', '50', 'coach', 'name', 'coached', 'team', 'last', 'Super', 'Bowl', 'appearance']",0,8,8,0
"['Whic', 'Carolina', 'Panthers', 'running', 'back', 'waived']",0,9,9,0
"['Carolina', 'Panthers', 'wide', 'receiver', 'suffered', 'torn', 'ACL', 'season', 'began']",0,9,9,0
"['team', '15', 'regular', 'season', 'game', 'since', '16-game', 'schedule', 'adopted']",1,1,9,0
"['year', 'NFL', 'switch', '16-game', 'regular', 'season']",1,3,9,0
"['best', 'record', 'NFC']",1,4,9,0
"['Panthers', 'went', 'Pro', 'Bowl']",0,9,9,0
"['Panthers', 'designated', 'All-Pro']",0,9,9,0
"['Panther', 'tore', 'ACL', 'preseason']",0,9,9,0
"['year', 'league', 'begin', 'schedule', '16', 'game']",0,9,9,0
"['year', 'Saints', 'hit', '13-0', 'record']",0,9,9,0
"['Packers', 'arrive', 'record', '13-0']",0,9,9,0
"['injury', 'Carolina', 'Panthers', 'lose', 'Kelvin', 'Benjamin', 'preseason']",0,9,9,0
"['player', 'Panthers', 'lose', 'ACL', 'injury', 'preseason', 'game']",0,9,9,0
"['running', 'back', 'Panthers', 'waive']",0,9,9,0
"['NFL', 'start', '16', 'game', 'season']",1,4,9,0
"['Panthers', 'player', 'selected', 'Pro', 'Bowl']",0,9,9,0
"['team', 'best', 'regular', 'season', 'history']",0,9,9,0
"['league', 'go', '15', '16', 'game', 'regular', 'season']",1,2,9,0
"['team', 'best', 'start', 'ever', 'NFL']",0,9,9,0
"['Panthers', 'player', 'chosen', '2015', 'season', 'Pro', 'Bowl']",0,9,9,0
"['Pro', 'Bowlers', 'Panthers', 'offense']",0,10,10,0
"['total', 'touchdown', 'Cam', 'Newton', 'score']",0,10,10,0
"['interception', 'Cam', 'Newton', 'throw']",0,10,10,0
"['punt', 'Ted', 'Ginn', 'Jr.', 'return']",0,10,10,0
"['started', 'tight', 'end', 'Panthers']",0,10,10,0
"['record', 'number', 'touchdown', 'Cam', 'Newton']",0,10,10,0
"['best', 'QB', 'ranking', 'Cam', 'Newton', 'hold']",0,10,10,0
"['pass', 'Greg', 'Olsen']",0,10,10,0
"['position', 'Jerricho', 'Cotchery', 'play']",0,10,10,0
"['Panthers', 'RB', 'scored', '6', 'TDs', '13', 'game', 'leading', 'Super', 'Bowl', '50']",0,10,10,0
"['Offensive', 'player', 'Panthers', 'selected', 'play', 'Pro', 'Bowl']",0,10,10,0
"['quarterback', 'Carolina', 'Panthers']",0,10,10,0
"['yard', 'Newton', 'throw', '2015']",0,10,10,0
"['touchdown', 'Newton', '2015']",0,10,10,0
"['touchdown', 'Jonathan', 'Stewart', '13', 'game']",0,10,10,0
"['point', 'Carolina', 'lead', 'NFL', 'scoring', 'offensive', 'play']",0,10,10,0
"['yard', 'Newton', 'get', 'pass', '2015', 'season']",0,10,10,0
"['touchdown', 'Newton', 'get', '2015', 'season']",0,10,10,0
"['Newton', 'quarterback', 'rating', '2015']",0,10,10,0
"['reception', 'Cotchery', 'get', '2015', 'season']",0,10,10,0
"['point', 'Panthers', 'defense', 'surrender']",0,11,11,0
"['career', 'sack', 'Jared', 'Allen']",0,11,11,0
"['tackle', 'Luke', 'Kuechly', 'register']",0,11,11,0
"['ball', 'Josh', 'Norman', 'intercept']",0,11,11,0
"['registered', 'sack', 'team', 'season']",0,11,11,0
"['interception', 'Panthers', 'defense', 'credited', '2015']",0,11,11,0
"['led', 'Panthers', 'sack']",0,11,11,0
"['Panthers', 'defense', 'player', 'selected', 'Pro', 'Bowl']",0,11,11,0
"['forced', 'fumble', 'Thomas', 'Davis']",0,11,11,0
"['player', 'interception', 'season']",0,11,11,0
"['2015', 'season', 'interception', 'Panthers', 'defense', 'get']",0,11,11,0
"['five', 'sack', 'nine', 'game', 'Carolina', 'Panthers', 'starter']",0,11,11,0
"['Panthers', 'tackle', 'leader', '2015']",0,11,11,0
"['interception', 'Josh', 'Norman', 'score', 'touchdown', '2015']",0,11,11,0
"['head', 'coach', 'Broncos']",0,12,12,0
"['played', 'quarterback', 'Broncos', 'Peyton', 'Manning', 'benched']",0,12,12,0
"['Peyton', 'Manning', 'play', 'rookie']",0,12,12,0
"['Broncos', 'play', 'last', 'week', 'regular', 'season']",1,4,12,0
"['Denver', 'defensive', 'coordinator']",0,12,12,0
"['year', 'John', 'Fox', 'head', 'coach', 'Denver', 'Broncos']",0,12,12,0
"['name', 'Bronco', 'head', 'coach', 'hired', 'John', 'Fox']",0,12,12,0
"['first', 'team', 'Peyton', 'Manning', 'began', 'playing']",0,12,12,0
"['old', 'Peyton', 'Manning', '2015']",0,12,12,0
"['10th', 'week', '2015', 'season', 'injury', 'Peyton', 'Manning', 'dealing']",0,12,12,0
"['John', 'Fox', 'left', 'head', 'coach', 'Broncos', 'replaced']",0,12,12,0
"['quarterback', 'Broncos', '2015', 'season']",0,12,12,0
"['injury', 'Manning', 'suffer', 'summer', 'season', 'started']",0,12,12,0
"['old', 'Manning', 'beginning', '2015', 'season']",0,12,12,0
"['game', 'Broncos', 'lose', 'regular', '2015', 'season']",0,12,12,0
"['coach', 'left', 'Broncos', 'season', 'prior', 'Super', 'Bowl', '50']",0,12,12,0
"['According', 'game', 'stats', 'Super', 'Bowl', '50', 'quarterback', 'worst', 'year', 'since', 'first', 'season', 'player', 'NFL']",0,12,12,0
"['Denver', 'head', 'coach', 'Super', 'Bowl', '50']",0,12,12,0
"['foot', 'injured', 'Manning', 'sidelined', 'week', '10']",0,12,12,0
"['defensive', 'coordinator', 'Broncos', '2015']",0,12,12,0
"['Peyton', 'Manning', 'passer', 'rating', 'season']",0,13,13,0
"['pick', 'Peyton', 'Manning', 'throw', 'season']",0,13,13,0
"['registered', 'reception', 'Broncos']",0,13,13,0
"['rushing', 'yard', 'Broncos']",0,13,13,0
