question,hit_miss,index_in_list,actual_parag,title_no
"['Maria', 'Curie', 'first', 'female', 'recipient']",0,-,0,1
"['year', 'Casimir', 'Pulaski', 'born', 'Warsaw']",0,-,0,1
"['one', 'famous', 'people', 'born', 'Warsaw']",0,-,0,1
"['Frédéric', 'Chopin']",0,-,0,1
"['old', 'Chopin', 'moved', 'Warsaw', 'family']",0,-,0,1
"['Over', 'specie', 'tree', 'found', 'Saxon', 'Garden']",0,-,1,1
"['popular', 'strolling', 'destination', 'Varsovians']",0,-,1,1
"['garden', 'formally', 'royalty']",0,-,1,1
"['end', 'Saxon', 'Garden', 'Tom', 'Unknown', 'Soldier', 'located']",0,-,1,1
"['park', 'cover', 'area', '76', 'ha']",0,-,1,1
"['far', 'Warsaw', 'Vistula', 'river', 'environment', 'change', 'noticeably']",0,-,2,1
"['animal', 'Vistula', 'river', 'ecosystem', 'include']",0,-,2,1
"['natural', 'reserve', 'Warsaw']",0,-,2,1
"['lake', 'Warsaw']",0,-,2,1
"['small', 'lake', 'park', 'emptied', 'winter']",0,-,2,1
"['Warsaw', 'diverse', 'Poland']",0,-,3,1
"['Warsaw', 'inhabitant', 'spoke', 'Polish', '1933']",0,-,3,1
"['percentage', 'population', 'Warsaw', 'Jewish', '1897']",0,-,3,1
"['significant', 'minority', 'Warsaw']",0,-,3,1
"['Warsaw', 'modern', 'growth', 'based']",0,-,3,1
"['second', 'academic', 'school', 'technology', 'Poland']",0,-,4,1
"['professor', 'Warsaw', 'University', 'Technology', 'employ']",0,-,4,1
"['largest', 'medical', 'school', 'Poland']",0,-,4,1
"['year', 'University', 'Warsaw', 'established']",0,-,4,1
"['one', 'largest', 'music', 'school', 'Europe']",0,-,4,1
"['University', 'Library', 'founded']",0,-,5,1
"['item', 'University', 'Library', 'home']",0,-,5,1
"['profession', 'Zbigniew', 'Badowski']",0,-,5,1
"['designed', 'garden', 'University', 'Library']",0,-,5,1
"['much', 'area', 'University', 'Library', 'garden', 'cover']",0,-,5,1
