word,label,parag_no,title_no
Super Bowl,ORG,0,0
50,DATE,0,0
American,NORP,0,0
the National Football League,ORG,0,0
NFL,ORG,0,0
the 2015 season,DATE,0,0
The American Football Conference,ORG,0,0
Denver Broncos,PERSON,0,0
the National Football Conference,ORG,0,0
Carolina Panthers,PERSON,0,0
24–10,CARDINAL,0,0
third,ORDINAL,0,0
Super Bowl,EVENT,0,0
"February 7, 2016",DATE,0,0
Levi's Stadium,FAC,0,0
the San Francisco Bay Area,LOC,0,0
Santa Clara,GPE,0,0
California,GPE,0,0
50th,ORDINAL,0,0
Super Bowl,EVENT,0,0
Super Bowl,EVENT,0,0
Roman,NORP,0,0
Super Bowl L,EVENT,0,0
Arabic,NORP,0,0
50,CARDINAL,0,0
Panthers,NORP,1,0
the regular season,DATE,1,0
Cam Newton,PERSON,1,0
Most Valuable Player,WORK_OF_ART,1,0
MVP,ORG,1,0
the Arizona Cardinals,ORG,1,0
the NFC Championship Game,EVENT,1,0
second,ORDINAL,1,0
Super Bowl,EVENT,1,0
1995,DATE,1,0
Broncos,PRODUCT,1,0
the regular season,DATE,1,0
12–4,PERSON,1,0
the New England Patriots,ORG,1,0
Super Bowl,EVENT,1,0
the AFC Championship Game,EVENT,1,0
Patriots,ORG,1,0
Dallas,GPE,1,0
Cowboys,ORG,1,0
Pittsburgh Steelers,PERSON,1,0
one,CARDINAL,1,0
four,CARDINAL,1,0
eight,CARDINAL,1,0
the Super Bowl,EVENT,1,0
Broncos,PRODUCT,2,0
Super Bowl,EVENT,2,0
Newton,ORG,2,0
Denver,GPE,2,0
seven,CARDINAL,2,0
three,CARDINAL,2,0
Denver,GPE,2,0
Von Miller,PERSON,2,0
Super Bowl MVP,EVENT,2,0
five,CARDINAL,2,0
2½,CARDINAL,2,0
two,CARDINAL,2,0
CBS,ORG,3,0
Super Bowl,EVENT,3,0
50,CARDINAL,3,0
U.S.,GPE,3,0
$5 million,MONEY,3,0
30-second,TIME,3,0
The Super Bowl,EVENT,3,0
50 halftime,TIME,3,0
British,NORP,3,0
Coldplay,PRODUCT,3,0
Beyoncé,NORP,3,0
Bruno Mars,PERSON,3,0
the Super Bowl XLVII,EVENT,3,0
Super Bowl,EVENT,3,0
third,ORDINAL,3,0
U.S.,GPE,3,0
early 2012,DATE,4,0
NFL,ORG,4,0
Roger Goodell,PERSON,4,0
50th,ORDINAL,4,0
Super Bowl,EVENT,4,0
three,CARDINAL,5,0
New Orleans',GPE,5,0
Mercedes-Benz Superdome,ORG,5,0
Miami,GPE,5,0
Sun Life Stadium,ORG,5,0
the San Francisco Bay Area's,LOC,5,0
Levi's Stadium,FAC,5,0
"October 16, 2012",DATE,6,0
two,CARDINAL,6,0
Sun Life Stadium,ORG,6,0
Levi's Stadium,FAC,6,0
Miami,GPE,6,0
10,CARDINAL,6,0
New Orleans,GPE,6,0
Super Bowl XLIV,EVENT,6,0
2010,DATE,6,0
1985,DATE,6,0
Super Bowl XIX,EVENT,6,0
Stanford Stadium,FAC,6,0
Stanford,GPE,6,0
California,GPE,6,0
49ers,CARDINAL,6,0
Miami,GPE,6,0
"May 3, 2013",DATE,6,0
Florida,GPE,6,0
Miami,GPE,6,0
"May 21, 2013",DATE,7,0
NFL,ORG,7,0
spring,DATE,7,0
Boston,GPE,7,0
Levi's Stadium,FAC,7,0
$1.2 billion,MONEY,7,0
2014,DATE,7,0
first,ORDINAL,7,0
Super Bowl,EVENT,7,0
the San Francisco Bay Area,LOC,7,0
Super Bowl XIX,EVENT,7,0
1985,DATE,7,0
first,ORDINAL,7,0
California,GPE,7,0
Super Bowl XXXVII,EVENT,7,0
San Diego,GPE,7,0
2003,DATE,7,0
the third straight season,DATE,8,0
one,CARDINAL,8,0
the Super Bowl,EVENT,8,0
one,CARDINAL,8,0
