question,paragNo,titleNo
"['NFL', 'team', 'represented', 'AFC', 'Super', 'Bowl', '50']",0,0
"['NFL', 'team', 'represented', 'NFC', 'Super', 'Bowl', '50']",0,0
"['Super', 'Bowl', '50', 'take', 'place']",0,0
"['NFL', 'team', 'Super', 'Bowl', '50']",0,0
"['color', 'used', 'emphasize', '50th', 'anniversary', 'Super', 'Bowl']",0,0
"['theme', 'Super', 'Bowl', '50']",0,0
"['day', 'game', 'played']",0,0
"['AFC', 'short']",0,0
"['theme', 'Super', 'Bowl', '50']",0,0
"['AFC', 'stand']",0,0
"['day', 'Super', 'Bowl', 'played']",0,0
"['Super', 'Bowl', '50']",0,0
"['venue', 'Super', 'Bowl', '50', 'take', 'place']",0,0
"['city', 'Super', 'Bowl', '50', 'take', 'place']",0,0
"['Roman', 'numeral', 'used', 'would', 'Super', 'Bowl', '50', 'called']",0,0
"['Super', 'Bowl', '50', 'decided', 'NFL', 'champion', 'season']",0,0
"['year', 'Denver', 'Broncos', 'secure', 'Super', 'Bowl', 'title', 'third', 'time']",0,0
"['city', 'Super', 'Bowl', '50', 'take', 'place']",0,0
"['stadium', 'Super', 'Bowl', '50', 'take', 'place']",0,0
"['final', 'score', 'Super', 'Bowl', '50']",0,0
"['month', 'day', 'year', 'Super', 'Bowl', '50', 'take', 'place']",0,0
"['year', 'Super', 'Bowl', '50']",0,0
"['team', 'AFC', 'champion']",0,0
"['team', 'NFC', 'champion']",0,0
"['Super', 'Bowl', '50']",0,0
"['Super', 'Bowl', '50', 'determined', 'NFL', 'champion', 'season']",0,0
"['team', 'Super', 'Bowl', '50']",0,0
"['Super', 'Bowl', '50', 'held']",0,0
"['name', 'NFL', 'championship', 'game']",0,0
"['2015', 'NFL', 'team', 'one', 'AFC', 'playoff']",0,0
"['Carolina', 'Panthers', 'player', 'named', 'Most', 'Valuable', 'Player']",1,0
"['appearance', 'Denver', 'Broncos', 'made', 'Super', 'Bowl']",1,0
"['year', 'Carolina', 'Panthers', 'franchise', 'founded']",1,0
"['team', 'Panthers', 'defeat']",1,0
"['Broncos', 'prevent', 'going', 'Super', 'Bowl']",1,0
"['Panthers', 'beat', 'NFC', 'Championship', 'Game']",1,0
"['lost', 'Broncos', 'AFC', 'Championship']",1,0
"['defending', 'Super', 'Bowl', 'champion']",1,0
"['team', 'Super', 'Bowl', 'eight', 'time']",1,0
"['season', 'NFL', 'MVP']",1,0
"['win/loss', 'ratio', '2015', 'Carolina', 'Panthers', 'regular', 'season']",1,0
"['Carolina', 'Panthers', 'team', 'member', 'picked', 'team', 'MVP', '2015']",1,0
"['win/loss', 'game', 'stats', 'Denver', 'Bronco', 'regular', 'season', '2015']",1,0
"['team', 'played', 'Super', 'Bowl', 'eight', 'time']",1,0
"['team', 'get', 'chance', 'defend', 'Super', 'Bowl', 'XLIX', 'win', 'Super', 'Bowl', '50']",1,0
"['quarterback', 'Panthers']",1,0
"['Carolina', 'beat', 'NFC', 'championship', 'game']",1,0
"['time', 'Panthers', 'Super', 'Bowl']",1,0
"['Denver', 'beat', 'AFC', 'championship']",1,0
"['Most', 'Valuable', 'Player', '2015', 'NFL', 'season']",1,0
"['Denver', 'beat', '2015', 'AFC', 'Championship', 'game']",1,0
"['Carolina', 'Panthers', 'beat', '2015', 'NFC', 'Championship', 'game']",1,0
"['2015', 'NFL', 'MVP']",1,0
"['Panthers', 'beat', 'become', 'NFC', 'champ']",1,0
"['year', 'Carolina', 'Panthers', 'form']",1,0
"['Super', 'Bowl', '50', 'MVP']",2,0
"['fumble', 'Von', 'Miller', 'force', 'Super', 'Bowl', '50']",2,0
"['team', 'held', 'scoring', 'lead', 'throughout', 'entire', 'game']",2,0
"['Denver', 'linebacker', 'named', 'Super', 'Bowl', 'MVP']",2,0
"['solo', 'tackle', 'Von', 'Miller', 'make', 'Super', 'Bowl', '50']",2,0
"['limited', 'Denver', 'defense']",2,0
"['time', 'Cam', 'Newton', 'sacked']",2,0
"['Super', 'Bowl', 'MVP']",2,0
"['turnover', 'Cam', 'Newton']",2,0
"['fumble', 'Von', 'Miller', 'force']",2,0
