question,word,TF_IDF,paragraph_no,title_no
"['NFL', 'team', 'represented', 'AFC', 'Super', 'Bowl', '50']",NFL,0.0496669999999999,26,0
"['NFL', 'team', 'represented', 'AFC', 'Super', 'Bowl', '50']",NFL,0.049585,50,0
"['NFL', 'team', 'represented', 'AFC', 'Super', 'Bowl', '50']",NFL,0.0495699999999999,13,0
"['NFL', 'team', 'represented', 'AFC', 'Super', 'Bowl', '50']",NFL,0.02489,42,0
"['NFL', 'team', 'represented', 'AFC', 'Super', 'Bowl', '50']",NFL,0.0248329999999999,52,0
"['NFL', 'team', 'represented', 'AFC', 'Super', 'Bowl', '50']",team,0.123929,7,0
"['NFL', 'team', 'represented', 'AFC', 'Super', 'Bowl', '50']",team,0.0248329999999999,35,0
"['NFL', 'team', 'represented', 'AFC', 'Super', 'Bowl', '50']",team,0.0,0,0
"['NFL', 'team', 'represented', 'AFC', 'Super', 'Bowl', '50']",team,0.0,41,0
"['NFL', 'team', 'represented', 'AFC', 'Super', 'Bowl', '50']",team,0.0,30,0
"['NFL', 'team', 'represented', 'AFC', 'Super', 'Bowl', '50']",represented,0.346918,26,0
"['NFL', 'team', 'represented', 'AFC', 'Super', 'Bowl', '50']",represented,0.0743969999999999,2,0
"['NFL', 'team', 'represented', 'AFC', 'Super', 'Bowl', '50']",represented,0.0,0,0
"['NFL', 'team', 'represented', 'AFC', 'Super', 'Bowl', '50']",represented,0.0,40,0
"['NFL', 'team', 'represented', 'AFC', 'Super', 'Bowl', '50']",represented,0.0,30,0
"['NFL', 'team', 'represented', 'AFC', 'Super', 'Bowl', '50']",AFC,0.049629,35,0
"['NFL', 'team', 'represented', 'AFC', 'Super', 'Bowl', '50']",AFC,0.024786,44,0
"['NFL', 'team', 'represented', 'AFC', 'Super', 'Bowl', '50']",AFC,0.0,0,0
"['NFL', 'team', 'represented', 'AFC', 'Super', 'Bowl', '50']",AFC,0.0,40,0
"['NFL', 'team', 'represented', 'AFC', 'Super', 'Bowl', '50']",AFC,0.0,29,0
"['NFL', 'team', 'represented', 'AFC', 'Super', 'Bowl', '50']",Super,0.0496669999999999,5,0
"['NFL', 'team', 'represented', 'AFC', 'Super', 'Bowl', '50']",Super,0.0495899999999999,24,0
"['NFL', 'team', 'represented', 'AFC', 'Super', 'Bowl', '50']",Super,0.0247949999999999,29,0
"['NFL', 'team', 'represented', 'AFC', 'Super', 'Bowl', '50']",Super,0.0,40,0
"['NFL', 'team', 'represented', 'AFC', 'Super', 'Bowl', '50']",Super,0.0,30,0
"['NFL', 'team', 'represented', 'AFC', 'Super', 'Bowl', '50']",Bowl,0.0248329999999999,14,0
"['NFL', 'team', 'represented', 'AFC', 'Super', 'Bowl', '50']",Bowl,0.024814,51,0
"['NFL', 'team', 'represented', 'AFC', 'Super', 'Bowl', '50']",Bowl,0.0,0,0
"['NFL', 'team', 'represented', 'AFC', 'Super', 'Bowl', '50']",Bowl,0.0,30,0
"['NFL', 'team', 'represented', 'AFC', 'Super', 'Bowl', '50']",Bowl,0.0,31,0
"['NFL', 'team', 'represented', 'AFC', 'Super', 'Bowl', '50']",50,0.024814,40,0
"['NFL', 'team', 'represented', 'AFC', 'Super', 'Bowl', '50']",50,0.024814,23,0
"['NFL', 'team', 'represented', 'AFC', 'Super', 'Bowl', '50']",50,0.024786,4,0
"['NFL', 'team', 'represented', 'AFC', 'Super', 'Bowl', '50']",50,0.0,0,0
"['NFL', 'team', 'represented', 'AFC', 'Super', 'Bowl', '50']",50,0.0,30,0
