word,questionNo,paragraphNo,titleNo,count Repeat,question belongs to paragraph,question belongs to paragraph in title
super bowl,0,0,0,5,0,0
super bowl,0,1,0,3,0,0
super bowl,0,2,0,2,0,0
super bowl,0,3,0,4,0,0
super bowl,0,4,0,1,0,0
super bowl,0,6,0,2,0,0
super bowl,0,7,0,3,0,0
super bowl,0,8,0,8,0,0
super bowl,0,16,0,1,0,0
super bowl,0,17,0,1,0,0
super bowl,0,18,0,2,0,0
super bowl,0,19,0,2,0,0
super bowl,0,20,0,2,0,0
super bowl,0,21,0,2,0,0
super bowl,0,22,0,9,0,0
super bowl,0,24,0,6,0,0
super bowl,0,25,0,3,0,0
super bowl,0,26,0,2,0,0
super bowl,0,28,0,1,0,0
super bowl,0,29,0,3,0,0
super bowl,0,30,0,2,0,0
super bowl,0,31,0,2,0,0
super bowl,0,32,0,2,0,0
super bowl,0,33,0,1,0,0
super bowl,0,35,0,1,0,0
super bowl,0,36,0,3,0,0
super bowl,0,38,0,1,0,0
super bowl,0,42,0,5,0,0
super bowl,0,44,0,2,0,0
super bowl,0,46,0,2,0,0
super bowl,0,47,0,1,0,0
super bowl,0,53,0,14,0,0
bowl 50,0,0,0,1,0,0
super bowl 50,0,0,0,1,0,0
take place,2,10,1,1,0,0
take place,2,34,3,1,0,0
take place,2,2,5,1,0,0
take place,2,8,15,1,0,0
take place,2,12,42,1,0,0
team super,3,22,0,1,0,0
team super bowl,3,22,0,1,0,0
color used,4,81,24,1,0,0
50th anniversary,4,22,34,1,0,0
50th anniversary,4,23,34,1,0,0
50th anniversary,4,40,34,1,0,0
50th anniversary,4,55,34,1,0,0
50th anniversary,4,59,34,1,0,0
game played,6,0,0,1,0,0
game played,6,24,31,1,0,0
roman numerals,14,0,0,1,0,0
denver broncos,16,0,0,1,0,0
bowl title,16,0,0,1,0,0
super bowl title,16,0,0,1,0,0
afc champion,22,0,0,1,0,0
nfc champion,23,0,0,1,0,0
championship game,28,1,0,2,0,0
championship game,28,15,0,1,0,0
2015 nfl,29,25,0,1,0,0
carolina panthers,30,0,0,1,1,0
carolina panthers,30,9,0,1,1,0
valuable player,30,1,0,1,1,0
broncos made,31,8,0,1,1,0
made super,31,36,0,1,1,0
made super bowl,31,36,0,1,1,0
franchise founded,32,1,0,1,1,0
panthers beat,35,15,0,1,1,0
nfc championship,35,1,0,1,1,0
nfc championship game,35,1,0,1,1,0
lost broncos,36,53,0,1,1,0
afc championship,36,1,0,1,1,0
defending super,37,16,0,1,1,0
bowl champions,37,31,0,1,1,0
defending super bowl,37,16,0,1,1,0
super bowl champions,37,31,0,1,1,0
regular season,40,1,0,2,1,0
regular season,40,14,24,1,1,0
chance defend,44,1,0,1,1,0
bowl xlix,44,1,0,1,1,0
win super,44,22,0,1,1,0
super bowl xlix,44,1,0,1,1,0
win super bowl,44,22,0,1,1,0
many times,47,9,5,1,1,0
many times,47,56,5,1,1,0
many times,47,60,24,1,1,0
many times,47,19,28,1,1,0
many times,47,14,40,1,1,0
nfl season,49,25,0,1,1,0
2015 nfl season,49,25,0,1,1,0
afc championship game,50,1,0,1,1,0
von miller,56,2,0,1,2,0
denver linebacker,58,2,0,1,2,0
named super,58,2,0,1,2,0
bowl mvp,58,2,0,1,2,0
named super bowl,58,2,0,1,2,0
super bowl mvp,58,2,0,1,2,0
solo tackles,59,2,0,1,2,0
limited denver,60,2,0,1,2,0
denver defense,60,2,0,1,2,0
limited denver defense,60,2,0,1,2,0
cam newton,61,1,0,1,2,0
newton sacked,61,48,0,1,2,0
mvp super,65,42,0,4,2,0
mvp super bowl,65,42,0,3,2,0
forced fumbles,68,2,0,1,2,0
forced fumbles,68,11,0,1,2,0
forced fumbles,68,52,0,1,2,0
panthers quarterback,76,46,0,1,2,0
two fumbles,78,11,0,1,2,0
30 second,81,3,0,1,3,0
30 second,81,37,0,1,3,0
second commercial,81,3,0,1,3,0
30 second commercial,81,3,0,1,3,0
headlined super,82,3,0,1,3,0
50 halftime,82,3,0,1,3,0
halftime show,82,3,0,1,3,0
headlined super bowl,82,3,0,1,3,0
bowl 50 halftime,82,3,0,1,3,0
50 halftime show,82,3,0,1,3,0
united states,85,32,0,1,3,0
united states,85,27,3,1,3,0
united states,85,67,3,1,3,0
united states,85,68,3,1,3,0
united states,85,13,5,1,3,0
united states,85,51,5,1,3,0
united states,85,97,6,1,3,0
united states,85,0,7,1,3,0
united states,85,5,7,1,3,0
united states,85,12,10,1,3,0
united states,85,39,10,1,3,0
united states,85,10,11,1,3,0
united states,85,1,13,1,3,0
united states,85,0,14,1,3,0
united states,85,12,16,1,3,0
united states,85,18,18,1,3,0
united states,85,0,19,1,3,0
united states,85,13,21,4,3,0
united states,85,86,24,1,3,0
united states,85,13,26,1,3,0
united states,85,3,29,1,3,0
united states,85,22,30,2,3,0
united states,85,0,32,2,3,0
united states,85,0,33,1,3,0
united states,85,43,34,1,3,0
united states,85,49,34,1,3,0
united states,85,1,35,1,3,0
united states,85,21,37,1,3,0
united states,85,50,37,1,3,0
united states,85,14,38,1,3,0
united states,85,6,43,1,3,0
united states,85,19,44,1,3,0
united states,85,0,45,1,3,0
united states,85,5,46,1,3,0
bowl xlvii,87,3,0,1,3,0
super bowl xlvii,87,3,0,1,3,0
bowl xlviii,88,3,0,1,3,0
super bowl xlviii,88,3,0,1,3,0
50th super,90,0,0,1,3,0
bowl game,90,0,0,1,3,0
50th super bowl,90,0,0,1,3,0
super bowl game,90,0,0,1,3,0
special guest,92,3,0,1,3,0
aired super,94,38,0,1,3,0
aired super bowl,94,38,0,1,3,0
time super,96,29,0,1,3,0
time super bowl,96,29,0,1,3,0
broadcast super,98,3,0,1,3,0
broadcast super bowl,98,3,0,1,3,0
lead super,103,2,0,1,3,0
lead super bowl,103,2,0,1,3,0
xlviii halftime,105,3,0,1,3,0
bowl xlviii halftime,105,3,0,1,3,0
xlviii halftime show,105,44,0,1,3,0
nfl commissioner,106,4,0,1,4,0
early 2012,106,4,0,1,4,0
roger goodell,107,4,0,1,4,0
important game,108,4,0,1,4,0
game us,108,4,0,1,4,0
us league,108,4,0,1,4,0
important game us,108,4,0,1,4,0
game us league,108,4,0,1,4,0
national football,109,0,0,2,4,0
football league,109,0,0,1,4,0
football league,109,0,9,1,4,0
national football league,109,0,0,1,4,0
would important,116,4,0,1,4,0
one three,117,71,24,1,5,0
one three,117,5,39,1,5,0
san francisco,121,0,0,1,5,0
francisco bay,121,0,0,1,5,0
bay area,121,0,0,1,5,0
san francisco bay,121,0,0,1,5,0
francisco bay area,121,0,0,1,5,0
name new,123,1,36,1,5,0
new orleans,123,5,0,1,5,0
took place,123,7,0,1,5,0
took place,123,72,6,1,5,0
took place,123,12,23,1,5,0
took place,123,33,41,1,5,0
given name,124,15,18,1,5,0
stadiums nfl,125,21,0,1,5,0
many sites,126,16,9,1,5,0
benz superdome,127,5,0,1,5,0
stadium san,130,0,0,1,5,0
stadium san francisco,130,0,0,1,5,0
