test_question,test_span,distance
How many first downs did Denver have for Super Bowl 50?,"Only seven other teams had ever gained less than 200 yards in a Super Bowl, and all of them had lost.",0.8461538461538461
How many first downs did Denver have for Super Bowl 50?,"Denver was just 1-of-14 on third down, while Carolina was barely better at 3-of-15.",0.8571428571428572
How many first downs did Denver have for Super Bowl 50?,Denver won despite being massively outgained in total yards (315 to 194) and first downs (21 to 11).,0.8666666666666667
How many first downs did Denver have for Super Bowl 50?,"Manning and Newton had quarterback passer ratings of 56.6 and 55.4, respectively, and their added total of 112 is a record lowest aggregate passer rating for a Super Bowl.",0.8666666666666667
How many first downs did Denver have for Super Bowl 50?,"Manning became the oldest quarterback ever to win a Super Bowl at age 39, and the first quarterback ever to win a Super Bowl with two different teams, while Gary Kubiak became the first head coach to win a Super Bowl with the same franchise he went to the Super Bowl with as a player.",0.8666666666666667
How many first downs did Denver have for Super Bowl 50?,The Broncos' seven sacks tied a Super Bowl record set by the Chicago Bears in Super Bowl XX.,0.8666666666666667
How many first downs did Denver have for Super Bowl 50?,The two teams' combined third down conversion percentage of 13.8 was a Super Bowl low.,0.8823529411764706
How many first downs did Denver have for Super Bowl 50?,Their 194 yards and 11 first downs were both the lowest totals ever by a Super Bowl winning team.,0.9090909090909092
How many first downs did Denver have for Super Bowl 50?,"Jordan Norwood's 61-yard punt return set a new record, surpassing the old record of 45 yards set by John Taylor in Super Bowl XXIII.",0.9230769230769232
How many first downs did Denver have for Super Bowl 50?,Kony Ealy tied a Super Bowl record with three sacks.,0.9230769230769232
How many first downs did Denver have for Super Bowl 50?,The previous record was 244 yards by the Baltimore Ravens in Super Bowl XXXV.,0.9230769230769232
How many first downs did Denver have for Super Bowl 50?,Super Bowl 50 featured numerous records from individuals and teams.,0.9375
How many first downs did Denver have?,The Broncos' seven sacks tied a Super Bowl record set by the Chicago Bears in Super Bowl XX.,0.75
How many first downs did Denver have?,"Jordan Norwood's 61-yard punt return set a new record, surpassing the old record of 45 yards set by John Taylor in Super Bowl XXIII.",0.8
How many first downs did Denver have?,Kony Ealy tied a Super Bowl record with three sacks.,0.8
How many first downs did Denver have?,"Manning and Newton had quarterback passer ratings of 56.6 and 55.4, respectively, and their added total of 112 is a record lowest aggregate passer rating for a Super Bowl.",0.8
How many first downs did Denver have?,"Only seven other teams had ever gained less than 200 yards in a Super Bowl, and all of them had lost.",0.8
How many first downs did Denver have?,Super Bowl 50 featured numerous records from individuals and teams.,0.8
How many first downs did Denver have?,The previous record was 244 yards by the Baltimore Ravens in Super Bowl XXXV.,0.8
How many first downs did Denver have?,The two teams' combined third down conversion percentage of 13.8 was a Super Bowl low.,0.8
How many first downs did Denver have?,Their 194 yards and 11 first downs were both the lowest totals ever by a Super Bowl winning team.,0.8461538461538461
How many first downs did Denver have?,"Denver was just 1-of-14 on third down, while Carolina was barely better at 3-of-15.",0.9166666666666666
How many first downs did Denver have?,"Manning became the oldest quarterback ever to win a Super Bowl at age 39, and the first quarterback ever to win a Super Bowl with two different teams, while Gary Kubiak became the first head coach to win a Super Bowl with the same franchise he went to the Super Bowl with as a player.",0.9166666666666666
How many first downs did Denver have?,Denver won despite being massively outgained in total yards (315 to 194) and first downs (21 to 11).,0.9230769230769232
How many first downs did the Broncos have in Super Bowl 50?,"Denver was just 1-of-14 on third down, while Carolina was barely better at 3-of-15.",0.8
How many first downs did the Broncos have in Super Bowl 50?,Their 194 yards and 11 first downs were both the lowest totals ever by a Super Bowl winning team.,0.9090909090909092
How many first downs did the Broncos have in Super Bowl 50?,Denver won despite being massively outgained in total yards (315 to 194) and first downs (21 to 11).,0.9230769230769232
How many first downs did the Broncos have in Super Bowl 50?,Kony Ealy tied a Super Bowl record with three sacks.,0.9230769230769232
How many first downs did the Broncos have in Super Bowl 50?,"Manning and Newton had quarterback passer ratings of 56.6 and 55.4, respectively, and their added total of 112 is a record lowest aggregate passer rating for a Super Bowl.",0.9230769230769232
How many first downs did the Broncos have in Super Bowl 50?,"Manning became the oldest quarterback ever to win a Super Bowl at age 39, and the first quarterback ever to win a Super Bowl with two different teams, while Gary Kubiak became the first head coach to win a Super Bowl with the same franchise he went to the Super Bowl with as a player.",0.9230769230769232
How many first downs did the Broncos have in Super Bowl 50?,"Only seven other teams had ever gained less than 200 yards in a Super Bowl, and all of them had lost.",0.9230769230769232
How many first downs did the Broncos have in Super Bowl 50?,The two teams' combined third down conversion percentage of 13.8 was a Super Bowl low.,0.9230769230769232
How many first downs did the Broncos have in Super Bowl 50?,The Broncos' seven sacks tied a Super Bowl record set by the Chicago Bears in Super Bowl XX.,0.9375
How many first downs did the Broncos have in Super Bowl 50?,"Jordan Norwood's 61-yard punt return set a new record, surpassing the old record of 45 yards set by John Taylor in Super Bowl XXIII.",1.0
How many first downs did the Broncos have in Super Bowl 50?,Super Bowl 50 featured numerous records from individuals and teams.,1.0
How many first downs did the Broncos have in Super Bowl 50?,The previous record was 244 yards by the Baltimore Ravens in Super Bowl XXXV.,1.0
How many first downs did the Panthers have in Super Bowl 50?,"Denver was just 1-of-14 on third down, while Carolina was barely better at 3-of-15.",0.8
How many first downs did the Panthers have in Super Bowl 50?,Their 194 yards and 11 first downs were both the lowest totals ever by a Super Bowl winning team.,0.9090909090909092
How many first downs did the Panthers have in Super Bowl 50?,Denver won despite being massively outgained in total yards (315 to 194) and first downs (21 to 11).,0.9230769230769232
How many first downs did the Panthers have in Super Bowl 50?,Kony Ealy tied a Super Bowl record with three sacks.,0.9230769230769232
How many first downs did the Panthers have in Super Bowl 50?,"Manning and Newton had quarterback passer ratings of 56.6 and 55.4, respectively, and their added total of 112 is a record lowest aggregate passer rating for a Super Bowl.",0.9230769230769232
How many first downs did the Panthers have in Super Bowl 50?,"Manning became the oldest quarterback ever to win a Super Bowl at age 39, and the first quarterback ever to win a Super Bowl with two different teams, while Gary Kubiak became the first head coach to win a Super Bowl with the same franchise he went to the Super Bowl with as a player.",0.9230769230769232
How many first downs did the Panthers have in Super Bowl 50?,"Only seven other teams had ever gained less than 200 yards in a Super Bowl, and all of them had lost.",0.9230769230769232
